default,processed
0.09330007824726134,0.06288145539906104
0.058030125195618155,0.09660602503912363
0.051848591549295775,0.05818661971830986
0.08396909233176839,0.07417840375586854
0.10565336463223787,0.058871283255086074
0.03726525821596244,0.10935054773082942
0.058030125195618155,0.09660602503912363
0.04629303599374022,0.09310446009389671
0.07999804381846636,0.10902777777777778
0.027895148669796557,0.04315336463223787
0.07657472613458528,0.09103090766823162
0.03624804381846635,0.08535798122065728
0.0927621283255086,0.10585876369327074
0.058030125195618155,0.09660602503912363
0.04924687010954617,0.11871087636932708
0.06961071987480438,0.05182902973395931
0.09764280125195618,0.11223591549295775
0.05294405320813771,0.0937206572769953
0.06913145539906103,0.12682902973395932
0.06658841940532081,0.06886737089201878
0.07760172143974961,0.11182511737089201
0.047183098591549295,0.11080790297339593
0.1258118153364632,0.06065140845070423
0.04401408450704225,0.09899256651017214
0.08017410015649452,0.10006846635367762
0.06433881064162754,0.09627347417840376
0.07852112676056339,0.0825802034428795
0.06913145539906103,0.12682902973395932
0.06913145539906103,0.12682902973395932
0.07279929577464789,0.06615805946791863
0.03999413145539906,0.10790297339593115
0.07406103286384977,0.0835093896713615
0.03886932707355242,0.07291666666666667
0.09215571205007825,0.06208920187793427
0.06974765258215962,0.12958724569640062
0.08396909233176839,0.07417840375586854
0.03149452269170579,0.0522887323943662
0.025215179968701096,0.1324530516431925
0.07863849765258216,0.11975743348982786
0.04565727699530516,0.06121870109546166
0.026770344287949922,0.0708528951486698
0.10590766823161189,0.07053990610328638
0.021390845070422534,0.11525821596244132
0.04096244131455399,0.10289514866979656
0.07892214397496088,0.10351134585289515
0.06029929577464789,0.12008998435054773
0.06328247261345853,0.09110915492957747
0.06238262910798122,0.09573552425665102
0.06598200312989046,0.09714397496087637
0.10308098591549296,0.06958137715179968
0.10245500782472614,0.0958235524256651
0.021390845070422534,0.11525821596244132
