default,processed,,,,,,,,,,,,,,,,
0.052983177,0.043984742,,,,,,,,,,,,,,,,
0.08793036,0.085172144,,,,,,,,,,,,,,,,
0.050068466,0.056347809,,,,,,,,,,,,,,,,
0.070823552,0.053550469,,,,,,,,,,,,,,,,
0.040532081,0.057834507,,,,,,,,,,,,,,,,
0.070823552,0.053550469,,,,,,,,,,,,,,,,
0.08125,0.058030125195618155,,,,,,,,,,,,,,,,
0.068515258,0.019600939,,,,,,,,,,,,,,,,
0.037744523,0.065698357,,,,,,,,,,,,,,,,
0.042732786,0.11926838810641628,,,,,,,,,,,,,,,,
0.036756651,0.10062597809076683,,,,,,,,,,,,,,,,
0.053266823,0.074872848,,,,,,,,,,,,,,,,
0.053266823,0.074872848,,,,,,,,,,,,,,,,
0.072652582,0.047016823,,,,,,,,,,,,,,,,
0.092302426,0.079019953,,,,,,,,,,,,,,,,
0.041089593,0.11671557120500782,,,,,,,,,,,,,,,,
0.062597809,0.065258216,,,,,,,,,,,,,,,,
0.085211268,0.083499609,,,,,,,,,,,,,,,,
0.042370892,0.073806729,,,,,,,,,,,,,,,,
0.080888106,0.070755086,,,,,,,,,,,,,,,,
0.098796948,0.095178013,,,,,,,,,,,,,,,,
0.057629108,0.024305555555555556,,,,,,,,,,,,,,,,
0.067713224,0.068573944,,,,,,,,,,,,,,,,
0.066793818,0.079284038,,,,,,,,,,,,,,,,
0.038781299,0.092312207,,,,,,,,,,,,,,,,
0.053589593,0.10892996870109546,,,,,,,,,,,,,,,,
0.048914319,0.061639280125195615,,,,,,,,,,,,,,,,
0.034937402,0.045471439749608766,,,,,,,,,,,,,,,,
0.055457746,0.047515649452269174,,,,,,,,,,,,,,,,
0.071615806,0.067771909,,,,,,,,,,,,,,,,
0.054587245696400624,0.081964006,,,,,,,,,,,,,,,,
0.088585681,0.11416275430359937,,,,,,,,,,,,,,,,
0.098562207,0.075586854,,,,,,,,,,,,,,,,
0.047642801251956184,0.029401408450704224,,,,,,,,,,,,,,,,
0.1149452269170579,0.086375196,,,,,,,,,,,,,,,,
0.038781299,0.092312207,,,,,,,,,,,,,,,,
0.054381847,0.054430751,,,,,,,,,,,,,,,,
0.067811033,0.10071400625978091,,,,,,,,,,,,,,,,
0.084800469,0.022848200312989047,,,,,,,,,,,,,,,,
0.072378717,0.097906886,,,,,,,,,,,,,,,,
0.088908451,0.061639280125195615,,,,,,,,,,,,,,,,
0.029225352112676056,0.056054381846635366,,,,,,,,,,,,,,,,
0.085201487,0.075019562,,,,,,,,,,,,,,,,
0.067703443,0.089964789,,,,,,,,,,,,,,,,
0.06896518,0.058343114,,,,,,,,,,,,,,,,
0.052670188,0.072505869,,,,,,,,,,,,,,,,
0.07306338,0.10357003129890453,,,,,,,,,,,,,,,,
0.053305946791862284,0.074687011,,,,,,,,,,,,,,,,
0.043260954616588417,0.079812207,,,,,,,,,,,,,,,,
0.04170579,0.040043036,,,,,,,,,,,,,,,,
0.07398278560250392,0.07306338028169014
0.08749021909233178,0.13178794992175275
0.06793818466353678,0.09480633802816901
0.0092820813771518,0.045745305164319246
0.07326877934272301,0.09215571205007825
0.07326877934272301,0.09215571205007825
0.08583724569640062,0.08877151799687011
0.08474178403755868,0.11183489827856025
0.08801838810641628,0.12088223787167449
0.06354655712050078,0.12058881064162755
